날짜,주식,주가변동여부,거래량변동여부
2021-07-16,한전기술,0,0
2021-07-15,한전기술,1,1
2021-07-14,한전기술,0,0
2021-07-13,한전기술,0,0
2021-07-12,한전기술,0,0
2021-07-09,한전기술,1,1
2021-07-08,한전기술,0,0
2021-07-07,한전기술,0,0
2021-07-06,한전기술,1,1
2021-07-05,한전기술,0,0
2021-07-02,한전기술,1,1
2021-07-01,한전기술,0,1
2021-06-30,한전기술,0,0
2021-06-29,한전기술,1,1
2021-06-28,한전기술,0,0
2021-06-25,한전기술,1,0
2021-06-24,한전기술,1,1
2021-06-23,한전기술,0,1
2021-06-22,한전기술,0,0
2021-06-21,한전기술,0,1
2021-06-18,한전기술,0,1
2021-06-17,한전기술,0,0
2021-06-16,한전기술,1,1
2021-06-15,한전기술,0,0
2021-06-14,한전기술,1,0
2021-06-11,한전기술,0,0
2021-06-10,한전기술,0,1
2021-06-09,한전기술,0,0
2021-06-08,한전기술,0,0
2021-06-07,한전기술,1,1
2021-06-04,한전기술,1,1
2021-06-03,한전기술,0,0
2021-06-02,한전기술,1,1
2021-06-01,한전기술,0,1
2021-05-31,한전기술,0,0
2021-05-28,한전기술,1,1
2021-05-27,한전기술,1,0
2021-05-26,한전기술,1,1
2021-05-25,한전기술,0,0
2021-05-24,한전기술,0,0
2021-05-21,한전기술,0,1
2021-05-20,한전기술,1,1
2021-05-18,한전기술,1,1
2021-05-17,한전기술,1,1
2021-05-14,한전기술,0,0
2021-05-13,한전기술,1,1
2021-05-12,한전기술,1,0
2021-05-11,한전기술,1,1
2021-05-10,한전기술,1,0
2021-05-07,한전기술,1,1
2021-05-06,한전기술,0,0
2021-05-04,한전기술,0,1
2021-05-03,한전기술,0,0
2021-04-30,한전기술,1,1
2021-04-29,한전기술,0,0
2021-04-28,한전기술,0,0
2021-04-27,한전기술,1,0
2021-04-26,한전기술,0,0
2021-04-23,한전기술,0,0
2021-04-22,한전기술,1,1
2021-04-21,한전기술,1,0
2021-04-20,한전기술,1,1
2021-04-19,한전기술,1,0
2021-04-16,한전기술,0,0
2021-04-15,한전기술,1,1
2021-04-14,한전기술,1,1
2021-04-13,한전기술,1,0
2021-04-12,한전기술,1,1
2021-04-09,한전기술,1,0
2021-04-08,한전기술,1,1
2021-04-07,한전기술,0,0
2021-04-06,한전기술,1,1
2021-04-05,한전기술,1,0
2021-04-02,한전기술,1,1
2021-04-01,한전기술,1,1
2021-03-31,한전기술,1,1
2021-03-30,한전기술,1,0
2021-03-29,한전기술,1,1
2021-03-26,한전기술,1,1
2021-03-25,한전기술,1,0
2021-03-24,한전기술,0,0
2021-03-23,한전기술,0,1
2021-03-22,한전기술,1,1
2021-03-19,한전기술,0,0
2021-03-18,한전기술,0,0
2021-03-17,한전기술,1,1
2021-03-16,한전기술,1,0
2021-03-15,한전기술,0,0
2021-03-12,한전기술,0,0
2021-03-11,한전기술,1,1
2021-03-10,한전기술,0,0
2021-03-09,한전기술,1,1
2021-03-08,한전기술,1,0
2021-03-05,한전기술,1,1
2021-03-04,한전기술,1,1
2021-03-03,한전기술,1,0
2021-03-02,한전기술,1,0
2021-02-26,한전기술,0,1
2021-02-25,한전기술,1,0
2021-02-24,한전기술,0,1
2021-02-23,한전기술,1,1
2021-02-22,한전기술,0,0
2021-02-19,한전기술,0,1
2021-02-18,한전기술,0,0
2021-02-17,한전기술,0,1
2021-02-16,한전기술,0,0
2021-02-15,한전기술,1,1
2021-02-10,한전기술,1,0
2021-02-09,한전기술,0,0
2021-02-08,한전기술,1,1
2021-02-05,한전기술,1,1
2021-02-04,한전기술,1,0
2021-02-03,한전기술,0,0
2021-02-02,한전기술,1,1
2021-02-01,한전기술,1,0
2021-01-29,한전기술,0,1
2021-01-28,한전기술,0,0
2021-01-27,한전기술,0,0
2021-01-26,한전기술,1,0
2021-01-25,한전기술,1,0
2021-01-22,한전기술,1,1
2021-01-21,한전기술,1,1
2021-01-20,한전기술,1,0
2021-01-19,한전기술,1,0
2021-01-18,한전기술,0,1
2021-01-15,한전기술,0,1
2021-01-14,한전기술,1,0
2021-01-13,한전기술,0,1
2021-01-12,한전기술,0,0
2021-01-11,한전기술,0,0
2021-01-08,한전기술,1,1
2021-01-07,한전기술,1,1
2021-01-06,한전기술,0,0
2021-01-05,한전기술,1,1
2021-01-04,한전기술,1,1
2020-12-30,한전기술,1,0
2020-12-29,한전기술,0,0
2020-12-28,한전기술,1,1
2020-12-24,한전기술,1,0
2021-07-16,셀트리온,1,1
2021-07-15,셀트리온,1,1
2021-07-14,셀트리온,0,1
2021-07-13,셀트리온,1,1
2021-07-12,셀트리온,1,0
2021-07-09,셀트리온,0,1
2021-07-08,셀트리온,0,1
2021-07-07,셀트리온,0,0
2021-07-06,셀트리온,0,0
2021-07-05,셀트리온,1,1
2021-07-02,셀트리온,0,0
2021-07-01,셀트리온,0,1
2021-06-30,셀트리온,1,1
2021-06-29,셀트리온,0,0
2021-06-28,셀트리온,1,0
2021-06-25,셀트리온,0,1
2021-06-24,셀트리온,0,0
2021-06-23,셀트리온,1,1
2021-06-22,셀트리온,0,0
2021-06-21,셀트리온,1,1
2021-06-18,셀트리온,1,1
2021-06-17,셀트리온,0,0
2021-06-16,셀트리온,0,0
2021-06-15,셀트리온,0,0
2021-06-14,셀트리온,1,1
2021-06-11,셀트리온,0,0
2021-06-10,셀트리온,1,0
2021-06-09,셀트리온,0,1
2021-06-08,셀트리온,1,1
2021-06-07,셀트리온,0,0
2021-06-04,셀트리온,1,0
2021-06-03,셀트리온,0,0
2021-06-02,셀트리온,0,1
2021-06-01,셀트리온,0,0
2021-05-31,셀트리온,1,0
2021-05-28,셀트리온,1,1
2021-05-27,셀트리온,0,1
2021-05-26,셀트리온,0,0
2021-05-25,셀트리온,1,1
2021-05-24,셀트리온,0,1
2021-05-21,셀트리온,0,1
2021-05-20,셀트리온,0,0
2021-05-18,셀트리온,1,0
2021-05-17,셀트리온,0,0
2021-05-14,셀트리온,1,0
2021-05-13,셀트리온,1,1
2021-05-12,셀트리온,0,1
2021-05-11,셀트리온,0,0
2021-05-10,셀트리온,1,0
2021-05-07,셀트리온,1,1
2021-05-06,셀트리온,0,0
2021-05-04,셀트리온,1,0
2021-05-03,셀트리온,0,1
2021-04-30,셀트리온,0,0
2021-04-29,셀트리온,0,0
2021-04-28,셀트리온,0,1
2021-04-27,셀트리온,0,1
2021-04-26,셀트리온,0,1
2021-04-23,셀트리온,0,0
2021-04-22,셀트리온,0,0
2021-04-21,셀트리온,0,0
2021-04-20,셀트리온,0,1
2021-04-19,셀트리온,1,1
2021-04-16,셀트리온,0,0
2021-04-15,셀트리온,0,1
2021-04-14,셀트리온,0,0
2021-04-13,셀트리온,1,1
2021-04-12,셀트리온,1,0
2021-04-09,셀트리온,0,0
2021-04-08,셀트리온,1,1
2021-04-07,셀트리온,1,0
2021-04-06,셀트리온,0,0
2021-04-05,셀트리온,0,1
2021-04-02,셀트리온,0,0
2021-04-01,셀트리온,0,0
2021-03-31,셀트리온,1,0
2021-03-30,셀트리온,0,0
2021-03-29,셀트리온,1,1
2021-03-26,셀트리온,1,1
2021-03-25,셀트리온,1,1
2021-03-24,셀트리온,1,0
2021-03-23,셀트리온,1,1
2021-03-22,셀트리온,1,1
2021-03-19,셀트리온,0,1
2021-03-18,셀트리온,0,1
2021-03-17,셀트리온,0,0
2021-03-16,셀트리온,1,0
2021-03-15,셀트리온,0,1
2021-03-12,셀트리온,1,0
2021-03-11,셀트리온,1,1
2021-03-10,셀트리온,0,0
2021-03-09,셀트리온,0,1
2021-03-08,셀트리온,0,1
2021-03-05,셀트리온,0,0
2021-03-04,셀트리온,1,0
2021-03-03,셀트리온,1,0
2021-03-02,셀트리온,0,0
2021-02-26,셀트리온,0,0
2021-02-25,셀트리온,1,0
2021-02-24,셀트리온,0,1
2021-02-23,셀트리온,0,1
2021-02-22,셀트리온,0,0
2021-02-19,셀트리온,1,1
2021-02-18,셀트리온,0,0
2021-02-17,셀트리온,0,1
2021-02-16,셀트리온,0,0
2021-02-15,셀트리온,1,1
2021-02-10,셀트리온,1,0
2021-02-09,셀트리온,0,1
2021-02-08,셀트리온,0,0
2021-02-05,셀트리온,0,1
2021-02-04,셀트리온,0,0
2021-02-03,셀트리온,0,0
2021-02-02,셀트리온,0,0
2021-02-01,셀트리온,1,1
2021-01-29,셀트리온,0,0
2021-01-28,셀트리온,1,1
2021-01-27,셀트리온,1,0
2021-01-26,셀트리온,1,1
2021-01-25,셀트리온,1,1
2021-01-22,셀트리온,0,0
2021-01-21,셀트리온,1,0
2021-01-20,셀트리온,0,0
2021-01-19,셀트리온,0,1
2021-01-18,셀트리온,0,0
2021-01-15,셀트리온,0,0
2021-01-14,셀트리온,0,1
2021-01-13,셀트리온,0,0
2021-01-12,셀트리온,1,0
2021-01-11,셀트리온,1,1
2021-01-08,셀트리온,1,1
2021-01-07,셀트리온,1,0
2021-01-06,셀트리온,0,0
2021-01-05,셀트리온,1,0
2021-01-04,셀트리온,0,0
2020-12-30,셀트리온,0,0
2020-12-29,셀트리온,1,0
2020-12-28,셀트리온,0,1
2020-12-24,셀트리온,0,1
2021-07-16,카카오게임즈,1,1
2021-07-15,카카오게임즈,0,0
2021-07-14,카카오게임즈,0,0
2021-07-13,카카오게임즈,1,0
2021-07-12,카카오게임즈,0,1
2021-07-09,카카오게임즈,1,0
2021-07-08,카카오게임즈,1,1
2021-07-07,카카오게임즈,0,0
2021-07-06,카카오게임즈,1,0
2021-07-05,카카오게임즈,1,0
2021-07-02,카카오게임즈,1,1
2021-07-01,카카오게임즈,0,0
2021-06-30,카카오게임즈,0,0
2021-06-29,카카오게임즈,1,1
2021-06-28,카카오게임즈,0,1
2021-06-25,카카오게임즈,1,0
2021-06-24,카카오게임즈,0,0
2021-06-23,카카오게임즈,0,1
2021-06-22,카카오게임즈,0,0
2021-06-21,카카오게임즈,0,0
2021-06-18,카카오게임즈,1,1
2021-06-17,카카오게임즈,0,1
2021-06-16,카카오게임즈,0,1
2021-06-15,카카오게임즈,0,0
2021-06-14,카카오게임즈,1,1
2021-06-11,카카오게임즈,1,0
2021-06-10,카카오게임즈,1,0
2021-06-09,카카오게임즈,1,1
2021-06-08,카카오게임즈,0,0
2021-06-07,카카오게임즈,1,0
2021-06-04,카카오게임즈,1,0
2021-06-03,카카오게임즈,1,1
2021-06-02,카카오게임즈,1,1
2021-06-01,카카오게임즈,1,0
2021-05-31,카카오게임즈,1,0
2021-05-28,카카오게임즈,1,0
2021-05-27,카카오게임즈,0,0
2021-05-26,카카오게임즈,1,1
2021-05-25,카카오게임즈,1,0
2021-05-24,카카오게임즈,0,1
2021-05-21,카카오게임즈,1,0
2021-05-20,카카오게임즈,0,0
2021-05-18,카카오게임즈,1,1
2021-05-17,카카오게임즈,1,0
2021-05-14,카카오게임즈,1,0
2021-05-13,카카오게임즈,0,0
2021-05-12,카카오게임즈,0,1
2021-05-11,카카오게임즈,0,0
2021-05-10,카카오게임즈,1,1
2021-05-07,카카오게임즈,1,0
2021-05-06,카카오게임즈,0,0
2021-05-04,카카오게임즈,1,1
2021-05-03,카카오게임즈,0,1
2021-04-30,카카오게임즈,0,0
2021-04-29,카카오게임즈,0,1
2021-04-28,카카오게임즈,0,1
2021-04-27,카카오게임즈,0,1
2021-04-26,카카오게임즈,0,0
2021-04-23,카카오게임즈,1,1
2021-04-22,카카오게임즈,0,0
2021-04-21,카카오게임즈,0,1
2021-04-20,카카오게임즈,0,0
2021-04-19,카카오게임즈,1,1
2021-04-16,카카오게임즈,1,0
2021-04-15,카카오게임즈,1,1
2021-04-14,카카오게임즈,0,0
2021-04-13,카카오게임즈,1,1
2021-04-12,카카오게임즈,1,1
2021-04-09,카카오게임즈,0,0
2021-04-08,카카오게임즈,1,0
2021-04-07,카카오게임즈,1,1
2021-04-06,카카오게임즈,1,1
2021-04-05,카카오게임즈,1,1
2021-04-02,카카오게임즈,0,0
2021-04-01,카카오게임즈,0,0
2021-03-31,카카오게임즈,0,0
2021-03-30,카카오게임즈,1,1
2021-03-29,카카오게임즈,0,1
2021-03-26,카카오게임즈,0,0
2021-03-25,카카오게임즈,1,1
2021-03-24,카카오게임즈,1,0
2021-03-23,카카오게임즈,0,1
2021-03-22,카카오게임즈,0,0
2021-03-19,카카오게임즈,1,1
2021-03-18,카카오게임즈,1,1
2021-03-17,카카오게임즈,1,1
2021-03-16,카카오게임즈,1,0
2021-03-15,카카오게임즈,0,0
2021-03-12,카카오게임즈,1,1
2021-03-11,카카오게임즈,1,0
2021-03-10,카카오게임즈,0,1
2021-03-09,카카오게임즈,0,1
2021-03-08,카카오게임즈,0,0
2021-03-05,카카오게임즈,0,1
2021-03-04,카카오게임즈,0,0
2021-03-03,카카오게임즈,0,0
2021-03-02,카카오게임즈,0,0
2021-02-26,카카오게임즈,0,0
2021-02-25,카카오게임즈,1,1
2021-02-24,카카오게임즈,1,1
